"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Overijssel (PV)";"2009";"102.0";"-2.9";"-2.9";"7853";"-30.3";"-30.3"
"Overijssel (PV)";"2010 1st quarter";"99.7";"-0.7";"-4.7";"1632";"-29.3";"0.6"
"Overijssel (PV)";"2010 2nd quarter";"100.5";"0.9";"-1.4";"2018";"23.7";"11.1"
"Overijssel (PV)";"2010 3rd quarter";"100.3";"-0.2";"-0.7";"2033";"0.7";"-3.5"
"Overijssel (PV)";"2010 4th quarter";"99.4";"-0.9";"-0.9";"2137";"5.1";"-7.4"
"Overijssel (PV)";"2010";"100.0";"-1.9";"-1.9";"7820";"-0.4";"-0.4"
"Overijssel (PV)";"2011 1st quarter";"97.6";"-1.8";"-2.1";"1735";"-18.8";"6.3"
"Overijssel (PV)";"2011 2nd quarter";"97.9";"0.3";"-2.7";"1810";"4.3";"-10.3"
"Overijssel (PV)";"2011 3rd quarter";"97.5";"-0.4";"-2.8";"1951";"7.8";"-4.0"
"Overijssel (PV)";"2011 4th quarter";"95.4";"-2.1";"-4.0";"2046";"4.9";"-4.3"
"Overijssel (PV)";"2011";"97.1";"-2.9";"-2.9";"7542";"-3.6";"-3.6"
"Overijssel (PV)";"2012 1st quarter";"95.6";"0.2";"-2.0";"1587";"-22.4";"-8.5"
"Overijssel (PV)";"2012 2nd quarter";"93.6";"-2.1";"-4.3";"2301";"45.0";"27.1"
"Overijssel (PV)";"2012 3rd quarter";"89.5";"-4.4";"-8.2";"1581";"-31.3";"-19.0"
"Overijssel (PV)";"2012 4th quarter";"89.8";"0.3";"-5.9";"2374";"50.2";"16.0"
"Overijssel (PV)";"2012";"92.1";"-5.1";"-5.1";"7843";"4.0";"4.0"
"Overijssel (PV)";"2013 1st quarter";"87.7";"-2.3";"-8.3";"1477";"-37.8";"-6.9"
"Overijssel (PV)";"2013 2nd quarter";"85.2";"-2.9";"-9.0";"1338";"-9.4";"-41.9"
"Overijssel (PV)";"2013 3rd quarter";"86.4";"1.5";"-3.5";"1759";"31.5";"11.3"
"Overijssel (PV)";"2013 4th quarter";"85.7";"-0.8";"-4.5";"2266";"28.8";"-4.5"
"Overijssel (PV)";"2013";"86.3";"-6.4";"-6.4";"6840";"-12.8";"-12.8"
"Overijssel (PV)";"2014 1st quarter";"86.8";"1.3";"-1.0";"1801";"-20.5";"21.9"
"Overijssel (PV)";"2014 2nd quarter";"86.7";"-0.1";"1.8";"2096";"16.4";"56.7"
"Overijssel (PV)";"2014 3rd quarter";"87.0";"0.3";"0.7";"2158";"3.0";"22.7"
"Overijssel (PV)";"2014 4th quarter";"86.6";"-0.5";"1.0";"3116";"44.4";"37.5"
"Overijssel (PV)";"2014";"86.8";"0.6";"0.6";"9171";"34.1";"34.1"
"Overijssel (PV)";"2015 1st quarter";"87.0";"0.5";"0.2";"2065";"-33.7";"14.7"
"Overijssel (PV)";"2015 2nd quarter";"87.3";"0.4";"0.7";"2354";"14.0";"12.3"
"Overijssel (PV)";"2015 3rd quarter";"87.6";"0.3";"0.7";"2913";"23.7";"35.0"
"Overijssel (PV)";"2015 4th quarter";"88.2";"0.7";"1.8";"3130";"7.4";"0.4"
"Overijssel (PV)";"2015";"87.5";"0.9";"0.9";"10462";"14.1";"14.1"
"Overijssel (PV)";"2016 1st quarter";"89.9";"1.9";"3.3";"2510";"-19.8";"21.6"
"Overijssel (PV)";"2016 2nd quarter";"90.1";"0.3";"3.2";"3041";"21.2";"29.2"
"Overijssel (PV)";"2016 3rd quarter";"91.5";"1.6";"4.5";"3783";"24.4";"29.9"
"Overijssel (PV)";"2016 4th quarter";"92.1";"0.6";"4.4";"3763";"-0.5";"20.2"
"Overijssel (PV)";"2016";"90.9";"3.9";"3.9";"13097";"25.2";"25.2"
"Overijssel (PV)";"2017 1st quarter";"93.5";"1.6";"4.1";"3613";"-4.0";"43.9"
"Overijssel (PV)";"2017 2nd quarter";"95.2";"1.7";"5.6";"3705";"2.5";"21.8"
"Overijssel (PV)";"2017 3rd quarter";"97.4";"2.3";"6.4";"3861";"4.2";"2.1"
"Overijssel (PV)";"2017 4th quarter";"98.6";"1.3";"7.1";"4291";"11.1";"14.0"
"Overijssel (PV)";"2017";"96.2";"5.8";"5.8";"15470";"18.1";"18.1"
"Flevoland (PV)";"1995 1st quarter";"44.2";" ";" ";"529";" ";" "
"Flevoland (PV)";"1995 2nd quarter";"44.2";"-0.1";" ";"663";"25.3";" "
"Flevoland (PV)";"1995 3rd quarter";"45.4";"2.7";" ";"684";"3.2";" "
"Flevoland (PV)";"1995 4th quarter";"46.0";"1.4";" ";"861";"25.9";" "
"Flevoland (PV)";"1995";"44.9";" ";" ";"2737";" ";" "
"Flevoland (PV)";"1996 1st quarter";"45.9";"-0.3";"3.8";"817";"-5.1";"54.4"
"Flevoland (PV)";"1996 2nd quarter";"48.0";"4.7";"8.7";"987";"20.8";"48.9"
"Flevoland (PV)";"1996 3rd quarter";"50.0";"4.2";"10.3";"1066";"8.0";"55.8"
"Flevoland (PV)";"1996 4th quarter";"50.6";"1.1";"9.9";"1196";"12.2";"38.9"
"Flevoland (PV)";"1996";"48.6";"8.2";"8.2";"4066";"48.6";"48.6"
"Flevoland (PV)";"1997 1st quarter";"51.0";"0.9";"11.2";"894";"-25.3";"9.4"
"Flevoland (PV)";"1997 2nd quarter";"51.7";"1.3";"7.6";"1225";"37.0";"24.1"
"Flevoland (PV)";"1997 3rd quarter";"52.9";"2.3";"5.7";"1324";"8.1";"24.2"
"Flevoland (PV)";"1997 4th quarter";"54.3";"2.7";"7.3";"1478";"11.6";"23.6"
"Flevoland (PV)";"1997";"52.5";"7.9";"7.9";"4921";"21.0";"21.0"
"Flevoland (PV)";"1998 1st quarter";"54.8";"1.0";"7.5";"1117";"-24.4";"24.9"
"Flevoland (PV)";"1998 2nd quarter";"55.5";"1.1";"7.3";"1530";"37.0";"24.9"
"Flevoland (PV)";"1998 3rd quarter";"57.4";"3.6";"8.6";"1712";"11.9";"29.3"
"Flevoland (PV)";"1998 4th quarter";"58.5";"1.9";"7.7";"1968";"15.0";"33.2"
"Flevoland (PV)";"1998";"56.6";"7.8";"7.8";"6327";"28.6";"28.6"
"Flevoland (PV)";"1999 1st quarter";"62.7";"7.2";"14.4";"1734";"-11.9";"55.2"
"Flevoland (PV)";"1999 2nd quarter";"65.5";"4.3";"18.0";"1630";"-6.0";"6.5"
"Flevoland (PV)";"1999 3rd quarter";"68.9";"5.2";"19.9";"1798";"10.3";"5.0"
"Flevoland (PV)";"1999 4th quarter";"72.5";"5.3";"24.0";"1652";"-8.1";"-16.1"
"Flevoland (PV)";"1999";"67.4";"19.2";"19.2";"6814";"7.7";"7.7"
"Flevoland (PV)";"2000 1st quarter";"75.6";"4.2";"20.5";"1234";"-25.3";"-28.8"
"Flevoland (PV)";"2000 2nd quarter";"78.7";"4.0";"20.2";"1443";"16.9";"-11.5"
"Flevoland (PV)";"2000 3rd quarter";"81.8";"4.0";"18.7";"1551";"7.5";"-13.7"
"Flevoland (PV)";"2000 4th quarter";"82.9";"1.3";"14.3";"1558";"0.5";"-5.7"
"Flevoland (PV)";"2000";"79.7";"18.3";"18.3";"5786";"-15.1";"-15.1"
"Flevoland (PV)";"2001 1st quarter";"86.0";"3.7";"13.7";"1140";"-26.8";"-7.6"
"Flevoland (PV)";"2001 2nd quarter";"87.4";"1.7";"11.1";"1535";"34.6";"6.4"
"Flevoland (PV)";"2001 3rd quarter";"88.0";"0.7";"7.6";"1910";"24.4";"23.1"
"Flevoland (PV)";"2001 4th quarter";"89.0";"1.2";"7.4";"2008";"5.1";"28.9"
"Flevoland (PV)";"2001";"87.6";"9.9";"9.9";"6593";"13.9";"13.9"
"Flevoland (PV)";"2002 1st quarter";"91.3";"2.5";"6.2";"1361";"-32.2";"19.4"
"Flevoland (PV)";"2002 2nd quarter";"92.7";"1.6";"6.1";"1558";"14.5";"1.5"
"Flevoland (PV)";"2002 3rd quarter";"94.7";"2.1";"7.6";"1649";"5.8";"-13.7"
"Flevoland (PV)";"2002 4th quarter";"95.3";"0.7";"7.0";"1576";"-4.4";"-21.5"
"Flevoland (PV)";"2002";"93.5";"6.7";"6.7";"6144";"-6.8";"-6.8"
"Flevoland (PV)";"2003 1st quarter";"95.5";"0.2";"4.6";"1222";"-22.5";"-10.2"
"Flevoland (PV)";"2003 2nd quarter";"96.9";"1.5";"4.5";"1363";"11.5";"-12.5"
"Flevoland (PV)";"2003 3rd quarter";"97.0";"0.0";"2.4";"1541";"13.1";"-6.5"
"Flevoland (PV)";"2003 4th quarter";"97.4";"0.5";"2.2";"1516";"-1.6";"-3.8"
"Flevoland (PV)";"2003";"96.7";"3.4";"3.4";"5642";"-8.2";"-8.2"
"Flevoland (PV)";"2004 1st quarter";"97.6";"0.2";"2.2";"1019";"-32.8";"-16.6"
"Flevoland (PV)";"2004 2nd quarter";"97.6";"0.0";"0.7";"1247";"22.4";"-8.5"
"Flevoland (PV)";"2004 3rd quarter";"98.5";"0.9";"1.6";"1348";"8.1";"-12.5"
"Flevoland (PV)";"2004 4th quarter";"99.6";"1.1";"2.2";"1391";"3.2";"-8.2"
"Flevoland (PV)";"2004";"98.3";"1.7";"1.7";"5005";"-11.3";"-11.3"
"Flevoland (PV)";"2005 1st quarter";"99.5";"-0.1";"1.9";"1057";"-24.0";"3.7"
"Flevoland (PV)";"2005 2nd quarter";"100.4";"1.0";"2.9";"1290";"22.0";"3.4"
"Flevoland (PV)";"2005 3rd quarter";"101.6";"1.2";"3.2";"1352";"4.8";"0.3"
"Flevoland (PV)";"2005 4th quarter";"101.7";"0.1";"2.2";"1486";"9.9";"6.8"
"Flevoland (PV)";"2005";"100.8";"2.5";"2.5";"5185";"3.6";"3.6"
"Flevoland (PV)";"2006 1st quarter";"102.7";"1.0";"3.3";"1265";"-14.9";"19.7"
"Flevoland (PV)";"2006 2nd quarter";"102.8";"0.1";"2.3";"1371";"8.4";"6.3"
"Flevoland (PV)";"2006 3rd quarter";"103.6";"0.8";"2.0";"1489";"8.6";"10.1"
"Flevoland (PV)";"2006 4th quarter";"103.9";"0.3";"2.1";"1382";"-7.2";"-7.0"
"Flevoland (PV)";"2006";"103.2";"2.4";"2.4";"5507";"6.2";"6.2"
"Flevoland (PV)";"2007 1st quarter";"105.3";"1.3";"2.5";"1144";"-17.2";"-9.6"
"Flevoland (PV)";"2007 2nd quarter";"105.3";"0.0";"2.4";"1315";"14.9";"-4.1"
"Flevoland (PV)";"2007 3rd quarter";"105.7";"0.4";"2.1";"1452";"10.4";"-2.5"
"Flevoland (PV)";"2007 4th quarter";"106.4";"0.6";"2.4";"1322";"-9.0";"-4.3"
"Flevoland (PV)";"2007";"105.7";"2.3";"2.3";"5233";"-5.0";"-5.0"
"Flevoland (PV)";"2008 1st quarter";"104.6";"-1.6";"-0.6";"997";"-24.6";"-12.9"
"Flevoland (PV)";"2008 2nd quarter";"106.2";"1.5";"0.9";"1274";"27.8";"-3.1"
"Flevoland (PV)";"2008 3rd quarter";"106.8";"0.6";"1.0";"1241";"-2.6";"-14.5"
"Flevoland (PV)";"2008 4th quarter";"106.6";"-0.2";"0.2";"1168";"-5.9";"-11.6"
"Flevoland (PV)";"2008";"106.1";"0.4";"0.4";"4680";"-10.6";"-10.6"
"Flevoland (PV)";"2009 1st quarter";"104.8";"-1.7";"0.2";"697";"-40.3";"-30.1"
"Flevoland (PV)";"2009 2nd quarter";"103.5";"-1.3";"-2.5";"766";"9.9";"-39.9"
"Flevoland (PV)";"2009 3rd quarter";"101.8";"-1.6";"-4.7";"779";"1.7";"-37.2"
"Flevoland (PV)";"2009 4th quarter";"100.9";"-0.9";"-5.3";"814";"4.5";"-30.3"
"Flevoland (PV)";"2009";"102.8";"-3.1";"-3.1";"3056";"-34.7";"-34.7"
"Flevoland (PV)";"2010 1st quarter";"100.3";"-0.6";"-4.4";"632";"-22.4";"-9.3"
"Flevoland (PV)";"2010 2nd quarter";"100.6";"0.3";"-2.8";"707";"11.9";"-7.7"
"Flevoland (PV)";"2010 3rd quarter";"101.4";"0.8";"-0.5";"667";"-5.7";"-14.4"
"Flevoland (PV)";"2010 4th quarter";"97.8";"-3.5";"-3.1";"693";"3.9";"-14.9"
"Flevoland (PV)";"2010";"100.0";"-2.7";"-2.7";"2699";"-11.7";"-11.7"
"Flevoland (PV)";"2011 1st quarter";"98.1";"0.4";"-2.1";"607";"-12.4";"-4.0"
"Flevoland (PV)";"2011 2nd quarter";"97.8";"-0.4";"-2.8";"614";"1.2";"-13.2"
"Flevoland (PV)";"2011 3rd quarter";"96.1";"-1.7";"-5.2";"616";"0.3";"-7.6"
"Flevoland (PV)";"2011 4th quarter";"97.2";"1.1";"-0.6";"739";"20.0";"6.6"
"Flevoland (PV)";"2011";"97.3";"-2.7";"-2.7";"2576";"-4.6";"-4.6"
"Flevoland (PV)";"2012 1st quarter";"94.9";"-2.3";"-3.3";"495";"-33.0";"-18.5"
"Flevoland (PV)";"2012 2nd quarter";"93.0";"-2.0";"-4.9";"749";"51.3";"22.0"
"Flevoland (PV)";"2012 3rd quarter";"90.6";"-2.6";"-5.7";"548";"-26.8";"-11.0"
"Flevoland (PV)";"2012 4th quarter";"90.1";"-0.6";"-7.3";"772";"40.9";"4.5"
"Flevoland (PV)";"2012";"92.2";"-5.3";"-5.3";"2564";"-0.5";"-0.5"
"Flevoland (PV)";"2013 1st quarter";"88.7";"-1.6";"-6.6";"574";"-25.6";"16.0"
"Flevoland (PV)";"2013 2nd quarter";"86.9";"-1.9";"-6.5";"485";"-15.5";"-35.2"
"Flevoland (PV)";"2013 3rd quarter";"87.2";"0.3";"-3.8";"655";"35.1";"19.5"
"Flevoland (PV)";"2013 4th quarter";"87.2";"0.0";"-3.2";"794";"21.2";"2.9"
"Flevoland (PV)";"2013";"87.5";"-5.1";"-5.1";"2508";"-2.2";"-2.2"
"Flevoland (PV)";"2014 1st quarter";"87.7";"0.6";"-1.1";"667";"-16.0";"16.2"
"Flevoland (PV)";"2014 2nd quarter";"87.9";"0.2";"1.1";"751";"12.6";"54.8"
"Flevoland (PV)";"2014 3rd quarter";"87.9";"0.1";"0.8";"843";"12.3";"28.7"
"Flevoland (PV)";"2014 4th quarter";"89.6";"1.9";"2.8";"1106";"31.2";"39.3"
"Flevoland (PV)";"2014";"88.3";"0.9";"0.9";"3367";"34.3";"34.3"
"Flevoland (PV)";"2015 1st quarter";"88.1";"-1.7";"0.4";"833";"-24.7";"24.9"
"Flevoland (PV)";"2015 2nd quarter";"89.0";"1.1";"1.3";"837";"0.5";"11.5"
"Flevoland (PV)";"2015 3rd quarter";"90.2";"1.4";"2.6";"1201";"43.5";"42.5"
"Flevoland (PV)";"2015 4th quarter";"90.7";"0.5";"1.2";"1149";"-4.3";"3.9"
"Flevoland (PV)";"2015";"89.5";"1.4";"1.4";"4020";"19.4";"19.4"
"Flevoland (PV)";"2016 1st quarter";"91.6";"1.1";"4.1";"1038";"-9.7";"24.6"
"Flevoland (PV)";"2016 2nd quarter";"92.2";"0.6";"3.6";"1160";"11.8";"38.6"
"Flevoland (PV)";"2016 3rd quarter";"94.8";"2.7";"5.0";"1429";"23.2";"19.0"
"Flevoland (PV)";"2016 4th quarter";"96.4";"1.7";"6.3";"1538";"7.6";"33.9"
"Flevoland (PV)";"2016";"93.8";"4.8";"4.8";"5165";"28.5";"28.5"
"Flevoland (PV)";"2017 1st quarter";"97.7";"1.4";"6.7";"1447";"-5.9";"39.4"
"Flevoland (PV)";"2017 2nd quarter";"99.9";"2.2";"8.3";"1520";"5.0";"31.0"
"Flevoland (PV)";"2017 3rd quarter";"102.7";"2.8";"8.4";"1673";"10.1";"17.1"
"Flevoland (PV)";"2017 4th quarter";"105.9";"3.1";"9.8";"1786";"6.8";"16.1"
"Flevoland (PV)";"2017";"101.6";"8.3";"8.3";"6426";"24.4";"24.4"
"Gelderland (PV)";"1995 1st quarter";"36.2";" ";" ";"3417";" ";" "
"Gelderland (PV)";"1995 2nd quarter";"36.9";"2.0";" ";"4049";"18.5";" "
"Gelderland (PV)";"1995 3rd quarter";"38.1";"3.2";" ";"4679";"15.6";" "
"Gelderland (PV)";"1995 4th quarter";"38.6";"1.2";" ";"5221";"11.6";" "
"Gelderland (PV)";"1995";"37.5";" ";" ";"17366";" ";" "
"Gelderland (PV)";"1996 1st quarter";"39.6";"2.7";"9.4";"3722";"-28.7";"8.9"
"Gelderland (PV)";"1996 2nd quarter";"41.2";"4.1";"11.6";"4847";"30.2";"19.7"
"Gelderland (PV)";"1996 3rd quarter";"42.5";"3.2";"11.5";"5286";"9.1";"13.0"
"Gelderland (PV)";"1996 4th quarter";"43.6";"2.6";"13.1";"5612";"6.2";"7.5"
"Gelderland (PV)";"1996";"41.7";"11.4";"11.4";"19467";"12.1";"12.1"
"Gelderland (PV)";"1997 1st quarter";"44.6";"2.2";"12.6";"3980";"-29.1";"6.9"
"Gelderland (PV)";"1997 2nd quarter";"46.1";"3.4";"11.8";"4942";"24.2";"2.0"
"Gelderland (PV)";"1997 3rd quarter";"47.7";"3.5";"12.2";"5485";"11.0";"3.8"
"Gelderland (PV)";"1997 4th quarter";"48.7";"2.1";"11.7";"6417";"17.0";"14.3"
"Gelderland (PV)";"1997";"46.8";"12.0";"12.0";"20824";"7.0";"7.0"
"Gelderland (PV)";"1998 1st quarter";"50.0";"2.7";"12.2";"4078";"-36.5";"2.5"
"Gelderland (PV)";"1998 2nd quarter";"51.5";"3.0";"11.8";"4879";"19.6";"-1.3"
"Gelderland (PV)";"1998 3rd quarter";"53.1";"3.1";"11.3";"5464";"12.0";"-0.4"
"Gelderland (PV)";"1998 4th quarter";"54.9";"3.4";"12.8";"6322";"15.7";"-1.5"
"Gelderland (PV)";"1998";"52.4";"12.1";"12.1";"20743";"-0.4";"-0.4"
"Gelderland (PV)";"1999 1st quarter";"57.2";"4.2";"14.4";"4663";"-26.2";"14.3"
"Gelderland (PV)";"1999 2nd quarter";"59.3";"3.6";"15.1";"5623";"20.6";"15.2"
"Gelderland (PV)";"1999 3rd quarter";"62.9";"6.1";"18.5";"6097";"8.4";"11.6"
"Gelderland (PV)";"1999 4th quarter";"66.4";"5.5";"20.8";"6268";"2.8";"-0.9"
"Gelderland (PV)";"1999";"61.5";"17.3";"17.3";"22651";"9.2";"9.2"
"Gelderland (PV)";"2000 1st quarter";"69.2";"4.3";"21.0";"4122";"-34.2";"-11.6"
"Gelderland (PV)";"2000 2nd quarter";"72.0";"4.0";"21.4";"5145";"24.8";"-8.5"
"Gelderland (PV)";"2000 3rd quarter";"74.6";"3.6";"18.6";"5337";"3.7";"-12.5"
"Gelderland (PV)";"2000 4th quarter";"76.4";"2.4";"15.0";"5695";"6.7";"-9.1"
"Gelderland (PV)";"2000";"73.1";"18.8";"18.8";"20299";"-10.4";"-10.4"
"Gelderland (PV)";"2001 1st quarter";"78.6";"3.0";"13.6";"4065";"-28.6";"-1.4"
"Gelderland (PV)";"2001 2nd quarter";"80.6";"2.5";"11.9";"5238";"28.9";"1.8"
"Gelderland (PV)";"2001 3rd quarter";"81.5";"1.1";"9.2";"5705";"8.9";"6.9"
"Gelderland (PV)";"2001 4th quarter";"83.1";"2.0";"8.8";"6230";"9.2";"9.4"
"Gelderland (PV)";"2001";"80.9";"10.8";"10.8";"21238";"4.6";"4.6"
"Gelderland (PV)";"2002 1st quarter";"84.1";"1.2";"6.9";"4835";"-22.4";"18.9"
"Gelderland (PV)";"2002 2nd quarter";"85.9";"2.1";"6.6";"5124";"6.0";"-2.2"
"Gelderland (PV)";"2002 3rd quarter";"87.0";"1.3";"6.8";"5727";"11.8";"0.4"
"Gelderland (PV)";"2002 4th quarter";"86.9";"-0.1";"4.6";"5893";"2.9";"-5.4"
"Gelderland (PV)";"2002";"86.0";"6.2";"6.2";"21579";"1.6";"1.6"
"Gelderland (PV)";"2003 1st quarter";"87.8";"1.0";"4.4";"4212";"-28.5";"-12.9"
"Gelderland (PV)";"2003 2nd quarter";"88.0";"0.2";"2.4";"5163";"22.6";"0.8"
"Gelderland (PV)";"2003 3rd quarter";"89.2";"1.4";"2.5";"5711";"10.6";"-0.3"
"Gelderland (PV)";"2003 4th quarter";"90.5";"1.5";"4.1";"6486";"13.6";"10.1"
"Gelderland (PV)";"2003";"88.9";"3.4";"3.4";"21572";"0.0";"0.0"
"Gelderland (PV)";"2004 1st quarter";"91.9";"1.5";"4.6";"4165";"-35.8";"-1.1"
"Gelderland (PV)";"2004 2nd quarter";"92.6";"0.7";"5.2";"5322";"27.8";"3.1"
"Gelderland (PV)";"2004 3rd quarter";"93.5";"1.0";"4.8";"5615";"5.5";"-1.7"
"Gelderland (PV)";"2004 4th quarter";"93.9";"0.5";"3.8";"5998";"6.8";"-7.5"
"Gelderland (PV)";"2004";"93.0";"4.6";"4.6";"21100";"-2.2";"-2.2"
"Gelderland (PV)";"2005 1st quarter";"94.5";"0.6";"2.9";"4369";"-27.2";"4.9"
"Gelderland (PV)";"2005 2nd quarter";"95.5";"1.1";"3.2";"5638";"29.0";"5.9"
"Gelderland (PV)";"2005 3rd quarter";"96.3";"0.8";"3.0";"6300";"11.7";"12.2"
"Gelderland (PV)";"2005 4th quarter";"97.3";"1.1";"3.6";"6741";"7.0";"12.4"
"Gelderland (PV)";"2005";"95.9";"3.2";"3.2";"23048";"9.2";"9.2"
"Gelderland (PV)";"2006 1st quarter";"99.1";"1.9";"4.9";"5284";"-21.6";"20.9"
"Gelderland (PV)";"2006 2nd quarter";"99.6";"0.5";"4.3";"5948";"12.6";"5.5"
"Gelderland (PV)";"2006 3rd quarter";"101.3";"1.7";"5.3";"6024";"1.3";"-4.4"
"Gelderland (PV)";"2006 4th quarter";"101.0";"-0.3";"3.8";"6223";"3.3";"-7.7"
"Gelderland (PV)";"2006";"100.3";"4.6";"4.6";"23479";"1.9";"1.9"
"Gelderland (PV)";"2007 1st quarter";"102.2";"1.2";"3.1";"4966";"-20.2";"-6.0"
"Gelderland (PV)";"2007 2nd quarter";"104.0";"1.8";"4.4";"5461";"10.0";"-8.2"
"Gelderland (PV)";"2007 3rd quarter";"105.0";"0.9";"3.6";"5668";"3.8";"-5.9"
"Gelderland (PV)";"2007 4th quarter";"105.3";"0.3";"4.2";"5866";"3.5";"-5.7"
"Gelderland (PV)";"2007";"104.1";"3.8";"3.8";"21961";"-6.5";"-6.5"
"Gelderland (PV)";"2008 1st quarter";"105.8";"0.5";"3.5";"4322";"-26.3";"-13.0"
"Gelderland (PV)";"2008 2nd quarter";"106.2";"0.4";"2.1";"5143";"19.0";"-5.8"
"Gelderland (PV)";"2008 3rd quarter";"106.8";"0.6";"1.7";"5378";"4.6";"-5.1"
"Gelderland (PV)";"2008 4th quarter";"106.3";"-0.5";"1.0";"4906";"-8.8";"-16.4"
"Gelderland (PV)";"2008";"106.3";"2.1";"2.1";"19749";"-10.1";"-10.1"
"Gelderland (PV)";"2009 1st quarter";"104.9";"-1.4";"-0.9";"2865";"-41.6";"-33.7"
"Gelderland (PV)";"2009 2nd quarter";"102.9";"-1.8";"-3.1";"3382";"18.0";"-34.2"
"Gelderland (PV)";"2009 3rd quarter";"100.3";"-2.6";"-6.2";"3552";"5.0";"-34.0"
"Gelderland (PV)";"2009 4th quarter";"100.5";"0.2";"-5.5";"4021";"13.2";"-18.0"
"Gelderland (PV)";"2009";"102.1";"-3.9";"-3.9";"13820";"-30.0";"-30.0"
"Gelderland (PV)";"2010 1st quarter";"99.5";"-1.0";"-5.1";"3018";"-24.9";"5.3"
"Gelderland (PV)";"2010 2nd quarter";"100.3";"0.9";"-2.5";"3465";"14.8";"2.5"
"Gelderland (PV)";"2010 3rd quarter";"100.8";"0.5";"0.5";"3613";"4.3";"1.7"
"Gelderland (PV)";"2010 4th quarter";"99.4";"-1.4";"-1.1";"3784";"4.7";"-5.9"
"Gelderland (PV)";"2010";"100.0";"-2.1";"-2.1";"13880";"0.4";"0.4"
"Gelderland (PV)";"2011 1st quarter";"98.9";"-0.5";"-0.6";"3066";"-19.0";"1.6"
"Gelderland (PV)";"2011 2nd quarter";"97.3";"-1.6";"-3.1";"3170";"3.4";"-8.5"
"Gelderland (PV)";"2011 3rd quarter";"96.3";"-1.0";"-4.5";"3388";"6.9";"-6.2"
"Gelderland (PV)";"2011 4th quarter";"94.7";"-1.7";"-4.7";"3378";"-0.3";"-10.7"
"Gelderland (PV)";"2011";"96.8";"-3.2";"-3.2";"13002";"-6.3";"-6.3"
"Gelderland (PV)";"2012 1st quarter";"93.6";"-1.1";"-5.3";"2591";"-23.3";"-15.5"
"Gelderland (PV)";"2012 2nd quarter";"91.8";"-1.9";"-5.6";"3939";"52.0";"24.3"
"Gelderland (PV)";"2012 3rd quarter";"87.7";"-4.5";"-8.9";"2348";"-40.4";"-30.7"
"Gelderland (PV)";"2012 4th quarter";"87.4";"-0.4";"-7.7";"3874";"65.0";"14.7"
"Gelderland (PV)";"2012";"90.1";"-6.9";"-6.9";"12752";"-1.9";"-1.9"
"Gelderland (PV)";"2013 1st quarter";"85.5";"-2.2";"-8.7";"2503";"-35.4";"-3.4"
"Gelderland (PV)";"2013 2nd quarter";"83.4";"-2.4";"-9.2";"2381";"-4.9";"-39.6"
"Gelderland (PV)";"2013 3rd quarter";"83.8";"0.5";"-4.5";"3182";"33.6";"35.5"
"Gelderland (PV)";"2013 4th quarter";"82.8";"-1.1";"-5.2";"3994";"25.5";"3.1"
"Gelderland (PV)";"2013";"83.9";"-6.9";"-6.9";"12060";"-5.4";"-5.4"
"Gelderland (PV)";"2014 1st quarter";"83.2";"0.5";"-2.6";"3090";"-22.6";"23.5"
"Gelderland (PV)";"2014 2nd quarter";"83.5";"0.3";"0.1";"3663";"18.5";"53.8"
"Gelderland (PV)";"2014 3rd quarter";"83.9";"0.4";"0.1";"4259";"16.3";"33.8"
"Gelderland (PV)";"2014 4th quarter";"83.9";"0.0";"1.2";"5465";"28.3";"36.8"
"Gelderland (PV)";"2014";"83.6";"-0.3";"-0.3";"16477";"36.6";"36.6"
"Gelderland (PV)";"2015 1st quarter";"84.7";"1.0";"1.7";"3760";"-31.2";"21.7"
"Gelderland (PV)";"2015 2nd quarter";"84.6";"-0.1";"1.3";"4331";"15.2";"18.2"
"Gelderland (PV)";"2015 3rd quarter";"85.7";"1.4";"2.2";"5483";"26.6";"28.7"
"Gelderland (PV)";"2015 4th quarter";"86.0";"0.3";"2.5";"5514";"0.6";"0.9"
"Gelderland (PV)";"2015";"85.2";"2.0";"2.0";"19088";"15.8";"15.8"
"Gelderland (PV)";"2016 1st quarter";"86.8";"1.0";"2.6";"4559";"-17.3";"21.3"
"Gelderland (PV)";"2016 2nd quarter";"87.1";"0.3";"3.0";"5490";"20.4";"26.8"
"Gelderland (PV)";"2016 3rd quarter";"89.2";"2.4";"4.0";"6839";"24.6";"24.7"
"Gelderland (PV)";"2016 4th quarter";"89.9";"0.8";"4.6";"7022";"2.7";"27.3"
"Gelderland (PV)";"2016";"88.3";"3.5";"3.5";"23910";"25.3";"25.3"
"Gelderland (PV)";"2017 1st quarter";"91.5";"1.8";"5.3";"6534";"-7.0";"43.3"
"Gelderland (PV)";"2017 2nd quarter";"92.8";"1.5";"6.5";"6916";"5.8";"26.0"
"Gelderland (PV)";"2017 3rd quarter";"95.0";"2.4";"6.5";"7160";"3.5";"4.7"
