"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Groningen (PV)";"1998 4th quarter";"50.2";"2.9";"8.8";"2052";"9.3";"13.6"
"Groningen (PV)";"1998";"48.3";"7.5";"7.5";"6971";"2.8";"2.8"
"Groningen (PV)";"1999 1st quarter";"50.5";"0.6";"7.6";"1582";"-22.9";"21.7"
"Groningen (PV)";"1999 2nd quarter";"52.7";"4.3";"11.2";"1918";"21.2";"10.2"
"Groningen (PV)";"1999 3rd quarter";"54.8";"4.1";"12.4";"2268";"18.2";"20.8"
"Groningen (PV)";"1999 4th quarter";"56.5";"3.0";"12.4";"2175";"-4.1";"6.0"
"Groningen (PV)";"1999";"53.6";"10.9";"10.9";"7943";"13.9";"13.9"
"Groningen (PV)";"2000 1st quarter";"58.3";"3.2";"15.3";"1482";"-31.9";"-6.3"
"Groningen (PV)";"2000 2nd quarter";"60.9";"4.5";"15.5";"1674";"13.0";"-12.7"
"Groningen (PV)";"2000 3rd quarter";"64.1";"5.3";"16.9";"1839";"9.9";"-18.9"
"Groningen (PV)";"2000 4th quarter";"65.9";"2.7";"16.6";"1876";"2.0";"-13.7"
"Groningen (PV)";"2000";"62.3";"16.1";"16.1";"6871";"-13.5";"-13.5"
"Groningen (PV)";"2001 1st quarter";"67.6";"2.6";"15.9";"1341";"-28.5";"-9.5"
"Groningen (PV)";"2001 2nd quarter";"69.8";"3.3";"14.6";"1687";"25.8";"0.8"
"Groningen (PV)";"2001 3rd quarter";"73.7";"5.6";"15.0";"1998";"18.4";"8.6"
"Groningen (PV)";"2001 4th quarter";"74.4";"0.9";"12.9";"1824";"-8.7";"-2.8"
"Groningen (PV)";"2001";"71.4";"14.6";"14.6";"6850";"-0.3";"-0.3"
"Groningen (PV)";"2002 1st quarter";"76.4";"2.7";"13.1";"1453";"-20.3";"8.4"
"Groningen (PV)";"2002 2nd quarter";"77.9";"2.0";"11.7";"1752";"20.6";"3.9"
"Groningen (PV)";"2002 3rd quarter";"79.9";"2.5";"8.3";"1875";"7.0";"-6.2"
"Groningen (PV)";"2002 4th quarter";"79.7";"-0.2";"7.2";"1821";"-2.9";"-0.2"
"Groningen (PV)";"2002";"78.5";"10.0";"10.0";"6901";"0.7";"0.7"
"Groningen (PV)";"2003 1st quarter";"81.7";"2.5";"7.0";"1318";"-27.6";"-9.3"
"Groningen (PV)";"2003 2nd quarter";"82.8";"1.3";"6.3";"1667";"26.5";"-4.9"
"Groningen (PV)";"2003 3rd quarter";"84.4";"1.9";"5.7";"1760";"5.6";"-6.1"
"Groningen (PV)";"2003 4th quarter";"84.5";"0.1";"6.0";"1958";"11.3";"7.5"
"Groningen (PV)";"2003";"83.3";"6.2";"6.2";"6703";"-2.9";"-2.9"
"Groningen (PV)";"2004 1st quarter";"86.1";"1.9";"5.4";"1330";"-32.1";"0.9"
"Groningen (PV)";"2004 2nd quarter";"86.9";"1.0";"5.0";"1607";"20.8";"-3.6"
"Groningen (PV)";"2004 3rd quarter";"89.5";"3.0";"6.1";"1816";"13.0";"3.2"
"Groningen (PV)";"2004 4th quarter";"89.3";"-0.2";"5.8";"1915";"5.5";"-2.2"
"Groningen (PV)";"2004";"88.0";"5.6";"5.6";"6668";"-0.5";"-0.5"
"Groningen (PV)";"2005 1st quarter";"91.9";"2.9";"6.7";"1299";"-32.2";"-2.3"
"Groningen (PV)";"2005 2nd quarter";"93.6";"1.9";"7.7";"1645";"26.6";"2.4"
"Groningen (PV)";"2005 3rd quarter";"95.7";"2.3";"7.0";"1997";"21.4";"10.0"
"Groningen (PV)";"2005 4th quarter";"96.9";"1.2";"8.4";"1896";"-5.1";"-1.0"
"Groningen (PV)";"2005";"94.5";"7.5";"7.5";"6837";"2.5";"2.5"
"Groningen (PV)";"2006 1st quarter";"98.0";"1.2";"6.6";"1550";"-18.2";"19.3"
